
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="mujer",="salario_diario",="antiguedad",="mon_tue",="angry",="high_school",="prob_ganar",="na_prob",="prob_mayor",="na_prob_mayor",="cantidad_ganar",="na_cant",="cant_mayor",="na_cant_mayor"

="1.group",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.group",="-0.028",="-46.0",="-0.11",="0.16",="-0.042",="-0.031",="0.016",="0.037",="0.059*",="0.032",="-4606.1",="0.016",="0.0055",="0.039"
="",="(0.049)",="(32.1)",="(0.59)",="(0.11)",="(0.032)",="(0.042)",="(0.015)",="(0.027)",="(0.034)",="(0.022)",="(9651.5)",="(0.051)",="(0.067)",="(0.046)"

="_cons",="0.49***",="349.9***",="3.86***",="0.43***",="0.76***",="0.72***",="0.87***",="0.078***",="0.80***",="0.051***",="54883.1***",="0.50***",="0.44***",="0.28***"
="",="(0.033)",="(30.6)",="(0.42)",="(0.079)",="(0.021)",="(0.024)",="(0.011)",="(0.015)",="(0.023)",="(0.012)",="(8509.0)",="(0.038)",="(0.037)",="(0.031)"

="N",="575",="575",="575",="575",="563",="572",="520",="575",="537",="575",="283",="575",="403",="575"
="R-squared",="0.00077",="0.0030",="0.000099",="0.025",="0.0023",="0.0012",="0.0026",="0.0040",="0.0060",="0.0041",="0.0013",="0.00026",="0.000030",="0.0018"
="Source",="2w",="2w",="2w",="2w",="2w",="2w",="2w",="2w",="2w",="2w",="2w",="2w",="2w",="2w"
="Obs per group",="296/279",="296/279",="296/279",="296/279",="291/272",="296/276",="273/247",="296/279",="281/256",="296/279",="148/135",="296/279",="213/190",="296/279"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
